1;0,44;1229,779;179,987;18,718;10/11/2021;16:04:31.56;13,023;102,151;49,1
2;0,457;1229,762;179,986;18,718;10/11/2021;16:04:31.57;13,023;102,151;49,1
3;0,466;1229,753;179,986;18,718;10/11/2021;16:04:31.58;13,023;102,151;49,1
4;0,426;1229,792;179,987;18,718;10/11/2021;16:04:31.59;13,023;102,151;49,1
5;0,438;1229,78;179,987;18,718;10/11/2021;16:04:31.60;13,023;102,151;49,1
6;0,433;1229,786;179,987;18,718;10/11/2021;16:04:31.61;13,023;102,151;49,1
7;0,42;1229,799;179,987;18,718;10/11/2021;16:04:31.62;13,023;102,151;49,1
8;0,425;1229,794;179,987;18,718;10/11/2021;16:04:31.63;13,023;102,151;49,1
9;0,446;1229,773;179,986;18,718;10/11/2021;16:04:31.64;13,023;102,151;49,1
10;0,424;1229,794;179,986;18,718;10/11/2021;16:04:31.65;13,023;102,151;49,1
11;0,441;1229,778;179,986;18,718;10/11/2021;16:04:31.66;13,023;102,151;49,1
12;0,433;1229,786;179,986;18,717;10/11/2021;16:04:31.67;13,023;102,151;49,1
13;0,432;1229,786;179,985;18,717;10/11/2021;16:04:31.68;13,023;102,151;49,1
14;0,412;1229,807;179,986;18,717;10/11/2021;16:04:31.69;13,023;102,151;49,1
15;0,414;1229,804;179,986;18,717;10/11/2021;16:04:31.70;13,023;102,151;49,1
16;0,41;1229,808;179,986;18,717;10/11/2021;16:04:31.71;13,023;102,151;49,1
17;0,42;1229,799;179,985;18,717;10/11/2021;16:04:31.72;13,023;102,151;49,1
18;0,418;1229,801;179,986;18,717;10/11/2021;16:04:31.73;13,023;102,151;49,1
19;0,386;1229,833;179,986;18,717;10/11/2021;16:04:31.74;13,023;102,151;49,1
20;0,395;1229,824;179,986;18,717;10/11/2021;16:04:31.75;13,023;102,151;49,1
21;0,402;1229,817;179,986;18,717;10/11/2021;16:04:31.76;13,023;102,151;49,1
22;0,421;1229,798;179,986;18,717;10/11/2021;16:04:31.77;13,023;102,151;49,1
23;0,421;1229,798;179,986;18,718;10/11/2021;16:04:31.78;13,023;102,151;49,1
24;0,42;1229,799;179,987;18,718;10/11/2021;16:04:31.79;13,023;102,151;49,1
25;0,426;1229,792;179,987;18,718;10/11/2021;16:04:31.80;13,023;102,151;49,1
26;0,439;1229,779;179,987;18,718;10/11/2021;16:04:31.81;13,023;102,151;49,1
27;0,443;1229,776;179,987;18,718;10/11/2021;16:04:31.82;13,023;102,151;49,1
28;0,425;1229,793;179,987;18,718;10/11/2021;16:04:31.83;13,023;102,151;49,1
29;0,42;1229,799;179,987;18,718;10/11/2021;16:04:31.84;13,023;102,151;49,1
30;0,424;1229,795;179,987;18,718;10/11/2021;16:04:31.85;13,023;102,151;49,1
31;0,418;1229,801;179,987;18,718;10/11/2021;16:04:31.86;13,023;102,151;49,1
32;0,433;1229,785;179,987;18,718;10/11/2021;16:04:31.87;13,023;102,151;49,1
33;0,426;1229,793;179,987;18,718;10/11/2021;16:04:31.88;13,023;102,151;49,1
34;0,45;1229,768;179,987;18,718;10/11/2021;16:04:31.89;13,023;102,151;49,1
35;0,449;1229,77;179,987;18,718;10/11/2021;16:04:31.90;13,023;102,151;49,1
36;0,456;1229,763;179,986;18,718;10/11/2021;16:04:31.91;13,023;102,151;49,1
37;0,467;1229,752;179,986;18,718;10/11/2021;16:04:31.92;13,023;102,151;49,1
38;0,452;1229,767;179,986;18,718;10/11/2021;16:04:31.93;13,023;102,151;49,1
39;0,439;1229,779;179,986;18,718;10/11/2021;16:04:31.94;13,023;102,151;49,1
40;0,419;1229,8;179,986;18,717;10/11/2021;16:04:31.95;13,023;102,151;49,1
41;0,389;1229,83;179,987;18,717;10/11/2021;16:04:31.96;13,023;102,151;49,1
42;0,393;1229,826;179,987;18,717;10/11/2021;16:04:31.97;13,023;102,151;49,1
43;0,362;1229,856;179,987;18,717;10/11/2021;16:04:31.98;13,023;102,151;49,1
44;0,321;1229,897;179,988;18,716;10/11/2021;16:04:31.99;13,023;102,151;49,1
45;0,309;1229,91;179,988;18,716;10/11/2021;16:04:32.00;13,023;102,151;49,1
